productId,name,category,subcategory,brand,price,discountPrice,costPrice,stock,sku,status,deliveryAvailable,description,images
PRD-APP-IPHONE15-128,Apple iPhone 15 (128 GB) - Black,Smartphones,iOS Smartphones,Apple,79900,69900,58000,35,APP-IP15-128-BLK,Active,true,Dynamic Island brings up alerts and Live Activities. 48MP Main camera with 2x Telephoto. Durable color-infused glass and aluminum design with USB-C.,"[""/uploads/products/apple-iphone-15-128gb-black/1.jpg"",""/uploads/products/apple-iphone-15-128gb-black/2.jpg"",""/uploads/products/apple-iphone-15-128gb-black/3.jpg""]"
PRD-SAM-S24ULTRA-256,"Samsung Galaxy S24 Ultra 5G (256GB, Titanium Gray)",Smartphones,Android Smartphones,Samsung,134999,129999,105000,20,SAM-S24U-256-GRY,Active,true,"Meet Galaxy S24 Ultra with Galaxy AI, titanium frame, built-in S Pen, 200MP camera system, and Snapdragon 8 Gen 3 Mobile Platform.","[""/uploads/products/samsung-galaxy-s24-ultra-256gb/1.jpg"",""/uploads/products/samsung-galaxy-s24-ultra-256gb/2.jpg"",""/uploads/products/samsung-galaxy-s24-ultra-256gb/3.jpg""]"
PRD-GOO-PIXEL8PRO-128,"Google Pixel 8 Pro (128GB, Bay)",Smartphones,Android Smartphones,Google,106999,93999,78000,18,GOO-PIX8P-128-BAY,Active,true,"Google Tensor G3 chip powers Google AI features. Fully upgraded cameras, Super Actua display, and 24+ hour battery life with 7 years of OS updates.","[""/uploads/products/google-pixel-8-pro-128gb-bay/1.jpg"",""/uploads/products/google-pixel-8-pro-128gb-bay/2.jpg"",""/uploads/products/google-pixel-8-pro-128gb-bay/3.jpg""]"
PRD-ONE-12-256,"OnePlus 12 5G (256GB, Silky Black)",Smartphones,Android Smartphones,OnePlus,64999,64999,53000,25,ONE-12-256-BLK,Active,true,"Snapdragon 8 Gen 3, 4th Gen Hasselblad Camera for Mobile, 2K 120 Hz ProXDR Display, 5400 mAh battery with 100W SUPERVOOC charging.","[""/uploads/products/oneplus-12-5g-256gb-silky-black/1.jpg"",""/uploads/products/oneplus-12-5g-256gb-silky-black/2.jpg"",""/uploads/products/oneplus-12-5g-256gb-silky-black/3.jpg""]"
PRD-NOT-PHONE2-256,"Nothing Phone (2) (256GB, Dark Gray)",Smartphones,Android Smartphones,Nothing,49999,39999,31000,15,NOT-PH2-256-GRY,Active,true,"Iconic Glyph Interface with customized LED light patterns. Dual 50MP rear camera, Snapdragon 8+ Gen 1, and Nothing OS 2.5.","[""/uploads/products/nothing-phone-2-256gb-dark-gray/1.jpg"",""/uploads/products/nothing-phone-2-256gb-dark-gray/2.jpg"",""/uploads/products/nothing-phone-2-256gb-dark-gray/3.jpg""]"
PRD-XIA-14-512,"Xiaomi 14 (512GB, Black)",Smartphones,Android Smartphones,Xiaomi,79999,69999,56000,14,XIA-14-512-BLK,Active,true,"Leica Summilux optical lens, Snapdragon 8 Gen 3, 1.5K 120Hz LTPO AMOLED display, 90W HyperCharge + 50W wireless charging.","[""/uploads/products/xiaomi-14-512gb-black/1.jpg"",""/uploads/products/xiaomi-14-512gb-black/2.jpg"",""/uploads/products/xiaomi-14-512gb-black/3.jpg""]"
PRD-MOT-EDGE50ULTRA,"Motorola Edge 50 Ultra 5G (512GB, Peach Fuzz)",Smartphones,Android Smartphones,Motorola,64999,59999,48000,12,MOT-EDG50U-512,Active,true,"Real vegan leather / wood finish back, Snapdragon 8s Gen 3, 50MP periscope telephoto camera, 125W TurboPower charging.","[""/uploads/products/motorola-edge-50-ultra-512gb/1.jpg"",""/uploads/products/motorola-edge-50-ultra-512gb/2.jpg"",""/uploads/products/motorola-edge-50-ultra-512gb/3.jpg""]"
PRD-APP-IPHONE15PRO-256,Apple iPhone 15 Pro (256 GB) - Natural Titanium,Smartphones,iOS Smartphones,Apple,144900,134900,112000,10,APP-IP15P-256-TIT,Active,true,"Forged in titanium with A17 Pro chip, customizable Action button, 48MP Main camera system, and USB 3 speeds.","[""/uploads/products/apple-iphone-15-pro-256gb-titanium/1.jpg"",""/uploads/products/apple-iphone-15-pro-256gb-titanium/2.jpg"",""/uploads/products/apple-iphone-15-pro-256gb-titanium/3.jpg""]"
PRD-SAM-FLIP5-256,"Samsung Galaxy Z Flip5 5G (256GB, Mint)",Smartphones,Foldable Smartphones,Samsung,99999,79999,64000,8,SAM-FLP5-256-MNT,Active,true,"Compact 3.4-inch Flex Window for quick replies, hands-free selfies with FlexCam, zero-gap Flex Hinge design.","[""/uploads/products/samsung-galaxy-z-flip5-256gb/1.jpg"",""/uploads/products/samsung-galaxy-z-flip5-256gb/2.jpg"",""/uploads/products/samsung-galaxy-z-flip5-256gb/3.jpg""]"
PRD-ONE-12R-256,"OnePlus 12R 5G (256GB, Cool Blue)",Smartphones,Android Smartphones,OnePlus,45999,42999,35000,30,ONE-12R-256-BLU,Active,true,"Snapdragon 8 Gen 2, 4th-Gen LTPO 120Hz display, 5500 mAh largest OnePlus battery, 100W SUPERVOOC charging.","[""/uploads/products/oneplus-12r-5g-256gb-cool-blue/1.jpg"",""/uploads/products/oneplus-12r-5g-256gb-cool-blue/2.jpg"",""/uploads/products/oneplus-12r-5g-256gb-cool-blue/3.jpg""]"
